ID,Sex,Age,Head.L,Head.W,Neck.G,Chest.G,Weight
41,F,23,12.5,5,20.5,38,142
48,M,81,15.5,8,31,54,416
69,M,,16,8,32,52,432
83,M,117,15.5,7.5,32,54.5,476
238,M,70,15,6.5,28,45,334
274,F,57,13.5,7,20,38,204
518,M,45,13.5,7,24,39,204
520,F,9,9,4.5,12,19,26
522,M,21,13,6,19,30,120
525,M,177,16,9.5,30,48,436
527,F,57,12.5,5,19,32,125
529,F,81,13,5,20,33,132
531,M,21,13,5,17,28,90
533,M,9,10,4,13,23,40
535,M,45,16,6,24,42,220
538,M,9,10,4,13.5,23,46
541,M,33,13.5,6,22,34,154
543,F,57,13,5.5,17.5,31,116
545,F,45,13,6.5,21,34.5,182
547,M,21,14.5,5.5,20,34,150
549,M,10,9.5,4.5,16,26,65
551,F,82,13.5,6.5,28,48,356
553,F,70,14.5,6.5,26,48,316
555,M,10,11,5,17,29,94
557,M,10,11.5,5,17,29.5,86
560,M,34,13,7,21,35,150
562,M,34,16.5,6.5,27,44.5,270
564,M,34,14,5.5,24,39,202
568,F,58,13.5,6.5,21.5,40,202
570,M,58,15.5,7,28,50,365
572,M,11,11.5,6,16.5,31,79
576,M,23,12,6.5,19,38,148
579,M,70,15.5,7,28,55,446
581,F,11,9,5,15,27,62
583,F,83,14.5,7,23,44,236
585,M,35,13.5,8.5,23,44,212
598,M,,14.5,6.5,26,41,278
626,M,,13.5,6.5,22,36,190
630,M,,13,6,19.5,31,140
644,M,,13,5.5,19.5,35,162
648,M,,13,5.5,19.5,32.5,126
659,M,,17,8.5,30.5,48.5,368
661,M,,12,5.5,18,32,116
663,F,,14,7,21,37,160
665,M,,13,6.5,20.5,36.5,154
670,M,,16,7.5,28,45,316
673,F,,13.5,5.5,19.5,35,158
675,F,,12.5,5.5,19,32,120
679,M,,15.5,7.5,25.5,43,324
681,M,,14.5,7,22,38,196
